variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha,logprobs_json
v9_lista_completa_meio_αβ,0.0,0110100,αββαβαα,3,1,null
v9_lista_completa_meio_αβ,0.0,0110101,αββαβαβ,4,1,null
v9_lista_completa_meio_αβ,0.0,0110110,αββαββα,4,1,null
v9_lista_completa_meio_αβ,0.0,0110111,αββαβββ,5,1,null
v9_lista_completa_meio_αβ,0.0,0111000,αβββααα,3,1,null
v9_lista_completa_meio_αβ,0.0,0111001,αβββααβ,4,1,null
v9_lista_completa_meio_αβ,0.0,0111010,αβββαβα,4,1,null
v9_lista_completa_meio_αβ,0.0,0111011,αβββαββ,5,1,null
v9_lista_completa_meio_αβ,0.0,0111100,αββββαα,4,1,null
v9_lista_completa_meio_αβ,0.0,0111101,αββββαβ,5,1,null
v9_lista_completa_meio_αβ,0.0,0111110,αβββββα,5,1,null
v9_lista_completa_meio_αβ,0.0,0111111,αββββββ,6,1,null
v9_lista_completa_meio_αβ,0.0,1000000,βαααααα,1,0,null
v9_lista_completa_meio_αβ,0.0,1000001,βαααααβ,2,0,null
v9_lista_completa_meio_αβ,0.0,1000010,βααααβα,2,0,null
v9_lista_completa_meio_αβ,0.0,1000011,βααααββ,3,1,null
v9_lista_completa_meio_αβ,0.0,1000100,βαααβαα,2,0,null
v9_lista_completa_meio_αβ,0.0,1000101,βαααβαβ,3,1,null
v9_lista_completa_meio_αβ,0.0,1000110,βαααββα,3,1,null
v9_lista_completa_meio_αβ,0.0,1000111,βαααβββ,4,1,null
v9_lista_completa_meio_αβ,0.0,1001000,βααβααα,2,0,null
v9_lista_completa_meio_αβ,0.0,1001001,βααβααβ,3,1,null
v9_lista_completa_meio_αβ,0.0,1001010,βααβαβα,3,1,null
v9_lista_completa_meio_αβ,0.0,1001011,βααβαββ,4,1,null
v9_lista_completa_meio_αβ,0.0,1001100,βααββαα,3,1,null
v9_lista_completa_meio_αβ,0.0,1001101,βααββαβ,4,1,null
v9_lista_completa_meio_αβ,0.0,1001110,βααβββα,4,1,null
v9_lista_completa_meio_αβ,0.0,1001111,βααββββ,5,1,null
v9_lista_completa_meio_αβ,0.0,1010000,βαβαααα,2,0,null
v9_lista_completa_meio_αβ,0.0,1010001,βαβαααβ,3,1,null
v9_lista_completa_meio_αβ,0.0,1010010,βαβααβα,3,1,null
v9_lista_completa_meio_αβ,0.0,1010011,βαβααββ,4,1,null
v9_lista_completa_meio_αβ,0.0,1010100,βαβαβαα,3,1,null
v9_lista_completa_meio_αβ,0.0,1010101,βαβαβαβ,4,1,null
v9_lista_completa_meio_αβ,0.0,1010110,βαβαββα,4,1,null
v9_lista_completa_meio_αβ,0.0,1010111,βαβαβββ,5,1,null
v9_lista_completa_meio_αβ,0.0,1011000,βαββααα,3,0,null
v9_lista_completa_meio_αβ,0.0,1011001,βαββααβ,4,1,null
v9_lista_completa_meio_αβ,0.0,1011010,βαββαβα,4,1,null
v9_lista_completa_meio_αβ,0.0,1011011,βαββαββ,5,1,null
v9_lista_completa_meio_αβ,0.0,1011100,βαβββαα,4,1,null
v9_lista_completa_meio_αβ,0.0,1011101,βαβββαβ,5,1,null
v9_lista_completa_meio_αβ,0.0,1011110,βαββββα,5,1,null
v9_lista_completa_meio_αβ,0.0,1011111,βαβββββ,6,1,null
v9_lista_completa_meio_αβ,0.0,1100000,ββααααα,2,0,null
v9_lista_completa_meio_αβ,0.0,1100001,ββααααβ,3,0,null
v9_lista_completa_meio_αβ,0.0,1100010,ββαααβα,3,1,null
v9_lista_completa_meio_αβ,0.0,1100011,ββαααββ,4,1,null
v9_lista_completa_meio_αβ,0.0,1100100,ββααβαα,3,1,null
v9_lista_completa_meio_αβ,0.0,1100101,ββααβαβ,4,1,null
v9_lista_completa_meio_αβ,0.0,1100110,ββααββα,4,1,null
v9_lista_completa_meio_αβ,0.0,1100111,ββααβββ,5,1,null
v9_lista_completa_meio_αβ,0.0,1101000,ββαβααα,3,1,null
v9_lista_completa_meio_αβ,0.0,1101001,ββαβααβ,4,1,null
v9_lista_completa_meio_αβ,0.0,1101010,ββαβαβα,4,1,null
v9_lista_completa_meio_αβ,0.0,1101011,ββαβαββ,5,1,null
v9_lista_completa_meio_αβ,0.0,1101100,ββαββαα,4,1,null
v9_lista_completa_meio_αβ,0.0,1101101,ββαββαβ,5,1,null
v9_lista_completa_meio_αβ,0.0,1101110,ββαβββα,5,1,null
v9_lista_completa_meio_αβ,0.0,1101111,ββαββββ,6,1,null
v9_lista_completa_meio_αβ,0.0,1110000,βββαααα,3,1,null
v9_lista_completa_meio_αβ,0.0,1110001,βββαααβ,4,1,null
v9_lista_completa_meio_αβ,0.0,1110010,βββααβα,4,1,null
v9_lista_completa_meio_αβ,0.0,1110011,βββααββ,5,1,null
v9_lista_completa_meio_αβ,0.0,1110100,βββαβαα,4,1,null
v9_lista_completa_meio_αβ,0.0,1110101,βββαβαβ,5,1,null
v9_lista_completa_meio_αβ,0.0,1110110,βββαββα,5,1,null
v9_lista_completa_meio_αβ,0.0,1110111,βββαβββ,6,1,null
v9_lista_completa_meio_αβ,0.0,1111000,ββββααα,4,1,null
v9_lista_completa_meio_αβ,0.0,1111001,ββββααβ,5,1,null
v9_lista_completa_meio_αβ,0.0,1111010,ββββαβα,5,1,null
v9_lista_completa_meio_αβ,0.0,1111011,ββββαββ,6,1,null
v9_lista_completa_meio_αβ,0.0,1111100,βββββαα,5,1,null
v9_lista_completa_meio_αβ,0.0,1111101,βββββαβ,6,1,null
v9_lista_completa_meio_αβ,0.0,1111110,ββββββα,6,1,null
v9_lista_completa_meio_αβ,0.0,1111111,βββββββ,7,1,null
