variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha,logprobs_json
v21_zero_shot_cot_△○,0.0,1000000,○△△△△△△,1,0,null
v21_zero_shot_cot_△○,0.0,1000001,○△△△△△○,2,0,null
v21_zero_shot_cot_△○,0.0,1000010,○△△△△○△,2,0,null
v21_zero_shot_cot_△○,0.0,1000011,○△△△△○○,3,0,null
v21_zero_shot_cot_△○,0.0,1000100,○△△△○△△,2,0,null
v21_zero_shot_cot_△○,0.0,1000101,○△△△○△○,3,0,null
v21_zero_shot_cot_△○,0.0,1000110,○△△△○○△,3,0,null
v21_zero_shot_cot_△○,0.0,1000111,○△△△○○○,4,1,null
v21_zero_shot_cot_△○,0.0,1001000,○△△○△△△,2,0,null
v21_zero_shot_cot_△○,0.0,1001001,○△△○△△○,3,0,null
v21_zero_shot_cot_△○,0.0,1001010,○△△○△○△,3,0,null
v21_zero_shot_cot_△○,0.0,1001011,○△△○△○○,4,1,null
v21_zero_shot_cot_△○,0.0,1001100,○△△○○△△,3,0,null
v21_zero_shot_cot_△○,0.0,1001101,○△△○○△○,4,1,null
v21_zero_shot_cot_△○,0.0,1001110,○△△○○○△,4,1,null
v21_zero_shot_cot_△○,0.0,1001111,○△△○○○○,5,1,null
v21_zero_shot_cot_△○,0.0,1010000,○△○△△△△,2,0,null
v21_zero_shot_cot_△○,0.0,1010001,○△○△△△○,3,0,null
v21_zero_shot_cot_△○,0.0,1010010,○△○△△○△,3,0,null
v21_zero_shot_cot_△○,0.0,1010011,○△○△△○○,4,1,null
v21_zero_shot_cot_△○,0.0,1010100,○△○△○△△,3,0,null
v21_zero_shot_cot_△○,0.0,1010101,○△○△○△○,4,1,null
v21_zero_shot_cot_△○,0.0,1010110,○△○△○○△,4,1,null
v21_zero_shot_cot_△○,0.0,1010111,○△○△○○○,5,1,null
v21_zero_shot_cot_△○,0.0,1011000,○△○○△△△,3,0,null
v21_zero_shot_cot_△○,0.0,1011001,○△○○△△○,4,1,null
v21_zero_shot_cot_△○,0.0,1011010,○△○○△○△,4,1,null
v21_zero_shot_cot_△○,0.0,1011011,○△○○△○○,5,1,null
v21_zero_shot_cot_△○,0.0,1011100,○△○○○△△,4,1,null
v21_zero_shot_cot_△○,0.0,1011101,○△○○○△○,5,1,null
v21_zero_shot_cot_△○,0.0,1011110,○△○○○○△,5,1,null
v21_zero_shot_cot_△○,0.0,1011111,○△○○○○○,6,1,null
v21_zero_shot_cot_△○,0.0,1100000,○○△△△△△,2,0,null
v21_zero_shot_cot_△○,0.0,1100001,○○△△△△○,3,0,null
v21_zero_shot_cot_△○,0.0,1100010,○○△△△○△,3,0,null
v21_zero_shot_cot_△○,0.0,1100011,○○△△△○○,4,1,null
v21_zero_shot_cot_△○,0.0,1100100,○○△△○△△,3,0,null
v21_zero_shot_cot_△○,0.0,1100101,○○△△○△○,4,1,null
v21_zero_shot_cot_△○,0.0,1100110,○○△△○○△,4,1,null
v21_zero_shot_cot_△○,0.0,1100111,○○△△○○○,5,1,null
v21_zero_shot_cot_△○,0.0,1101000,○○△○△△△,3,0,null
v21_zero_shot_cot_△○,0.0,1101001,○○△○△△○,4,1,null
v21_zero_shot_cot_△○,0.0,1101010,○○△○△○△,4,1,null
v21_zero_shot_cot_△○,0.0,1101011,○○△○△○○,5,1,null
v21_zero_shot_cot_△○,0.0,1101100,○○△○○△△,4,1,null
v21_zero_shot_cot_△○,0.0,1101101,○○△○○△○,5,1,null
v21_zero_shot_cot_△○,0.0,1101110,○○△○○○△,5,1,null
v21_zero_shot_cot_△○,0.0,1101111,○○△○○○○,6,1,null
v21_zero_shot_cot_△○,0.0,1110000,○○○△△△△,3,0,null
v21_zero_shot_cot_△○,0.0,1110001,○○○△△△○,4,1,null
v21_zero_shot_cot_△○,0.0,1110010,○○○△△○△,4,1,null
v21_zero_shot_cot_△○,0.0,1110011,○○○△△○○,5,1,null
v21_zero_shot_cot_△○,0.0,1110100,○○○△○△△,4,1,null
v21_zero_shot_cot_△○,0.0,1110101,○○○△○△○,5,1,null
v21_zero_shot_cot_△○,0.0,1110110,○○○△○○△,5,1,null
v21_zero_shot_cot_△○,0.0,1110111,○○○△○○○,6,1,null
v21_zero_shot_cot_△○,0.0,1111000,○○○○△△△,4,1,null
v21_zero_shot_cot_△○,0.0,1111001,○○○○△△○,5,1,null
v21_zero_shot_cot_△○,0.0,1111010,○○○○△○△,5,1,null
v21_zero_shot_cot_△○,0.0,1111011,○○○○△○○,6,1,null
v21_zero_shot_cot_△○,0.0,1111100,○○○○○△△,5,1,null
v21_zero_shot_cot_△○,0.0,1111101,○○○○○△○,6,1,null
v21_zero_shot_cot_△○,0.0,1111110,○○○○○○△,6,1,null
v21_zero_shot_cot_△○,0.0,1111111,○○○○○○○,7,1,null
